Well	Well Type	Well Name	Dye 	Target	Replicate	R Last          	∆R Last          	Rn Last     	∆Rn Last    	RLast/RFirst     	Threshold (∆R)  	Baseline Start Cycle	Baseline End Cycle	Cq (∆R)	Final Call (∆R)	Quantity (picograms)	Quantity Avg. (picograms)	Quantity SD (picograms)	R² (∆R)	Slope (∆R)	Efficiency (%)	Cq Avg. Treated Ind. (∆R)	Cq SD Treated Ind. (∆R)	Melt Smoothing #	Melt Norm.	Tm Product 1 (-R'(T))	Tm Product 2 (-R'(T))	Tm Product 3 (-R'(T))	Tm Product 4 (-R'(T))	Tm Product 5 (-R'(T))	Tm Product 6 (-R'(T))	
C5  	Unknown  	---      	SYBR	SYBR  	---      	8728.98470269265	6230.58667035981 	No Reference	No Reference	6.42659336407805 	1148.62047862044	5                   	8                 	11.87  	+              	4.20789849919486    	4.20789849919486         	N/A                    	1      	-3.444    	95.1          	11.8697958699956         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
C6  	Unknown  	---      	SYBR	SYBR  	---      	9299.08470584183	6752.4665855986  	No Reference	No Reference	6.81032099970839 	1148.62047862044	5                   	8                 	11.84  	+              	4.29429756081609    	4.29429756081609         	N/A                    	1      	-3.444    	95.1          	11.8393959187057         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
C7  	Unknown  	---      	SYBR	SYBR  	---      	904.510158734798	0.328518980770809	No Reference	No Reference	0.980095092249045	1148.62047862044	2                   	35                	No Cq  	-              	No Cq               	No Cq                    	No Cq                  	1      	-3.444    	95.1          	No Cq                    	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
D1  	Standard 	---      	SYBR	SYBR  	---      	10533.665316315 	9079.97787126385 	No Reference	No Reference	8.15766407719207 	1148.62047862044	2                   	16                	19.88  	+              	0.02                	0.02                     	0                      	1      	-3.444    	95.1          	19.87692474439           	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
D2  	Standard 	---      	SYBR	SYBR  	---      	9783.18920341076	8322.35764608204 	No Reference	No Reference	7.42726176997476 	1148.62047862044	2                   	16                	19.96  	+              	0.02                	0.02                     	0                      	1      	-3.444    	95.1          	19.9631374160286         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
D3  	Standard 	---      	SYBR	SYBR  	---      	9054.65587586456	7580.06279836523 	No Reference	No Reference	6.91205657785963 	1148.62047862044	2                   	16                	20.13  	+              	0.02                	0.02                     	0                      	1      	-3.444    	95.1          	20.1293214675469         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
D4  	Unknown  	---      	SYBR	SYBR  	---      	9163.26095086492	6823.50662282655 	No Reference	No Reference	6.87529896221801 	1148.62047862044	5                   	8                 	11.98  	+              	3.91815625780964    	3.91815625780964         	N/A                    	1      	-3.444    	95.1          	11.9765036897426         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
D5  	Unknown  	---      	SYBR	SYBR  	---      	9753.56478659718	7406.38279786119 	No Reference	No Reference	7.59505122768819 	1148.62047862044	5                   	8                 	11.9   	+              	4.12088574445855    	4.12088574445855         	N/A                    	1      	-3.444    	95.1          	11.9010492602644         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
D6  	Unknown  	---      	SYBR	SYBR  	---      	9893.83251121476	7386.96756542275 	No Reference	No Reference	6.98766333160164 	1148.62047862044	5                   	8                 	11.91  	+              	4.09532487097239    	4.09532487097239         	N/A                    	1      	-3.444    	95.1          	11.9103557425741         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
D7  	Unknown  	---      	SYBR	SYBR  	---      	774.319110178398	0.955119113983756	No Reference	No Reference	0.954276589409182	1148.62047862044	2                   	35                	No Cq  	-              	No Cq               	No Cq                    	No Cq                  	1      	-3.444    	95.1          	No Cq                    	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
E1  	Standard 	---      	SYBR	SYBR  	---      	9196.07891418881	7777.03173503186 	No Reference	No Reference	7.03332995349049 	1148.62047862044	2                   	19                	23.03  	+              	0.002               	0.002                    	0                      	1      	-3.444    	95.1          	23.0329585725289         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
E2  	Standard 	---      	SYBR	SYBR  	---      	8508.79210040327	7130.72426597708 	No Reference	No Reference	6.59228345450854 	1148.62047862044	2                   	19                	23.19  	+              	0.002               	0.002                    	0                      	1      	-3.444    	95.1          	23.1863175693402         	No Cq                  	N/A             	N/A       	No Tm                	N/A                  	N/A                  	N/A                  	N/A                  	N/A                  	
